STATION,Station_name,DATE,LATITUDE,LONGITUDE,ELEVATION,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,relative_humidity,temperature_original,sea_level_pressure_original,relative_humidity_original,is_anomaly,anomaly_type,anomaly_id,anomaly_params
INM00043057,BOMBAY / COLABA,2024-02-11 09:00:00,18.9,72.8167,11.0,28.6,17.9,,1014.9,52.0,28.6,1014.9,52.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-11 12:00:00,18.9,72.8167,11.0,26.5,20.0,,1014.4,68.0,26.5,1014.4,68.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-12 03:00:00,18.9,72.8167,11.0,22.0,19.5,,1016.5,86.0,22.0,1016.5,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-12 12:00:00,18.9,72.8167,11.0,27.5,20.8,,1013.2,67.0,27.5,1013.2,67.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-13 03:00:00,18.9,72.8167,11.0,21.6,15.6,,1016.1,69.0,21.6,1016.1,69.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-13 12:00:00,18.9,72.8167,11.0,27.2,18.8,,1013.4,60.0,27.2,1013.4,60.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-14 03:00:00,18.9,72.8167,11.0,22.8,13.5,,1016.3,56.0,22.8,1016.3,56.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-14 06:00:00,18.9,72.8167,11.0,30.0,15.8,,1016.3,42.0,30.0,1016.3,42.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-14 09:00:00,18.9,72.8167,11.0,29.0,18.1,,1013.4,52.0,29.0,1013.4,52.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-14 12:00:00,18.9,72.8167,11.0,27.5,19.4,,1012.5,61.0,27.5,1012.5,61.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-15 03:00:00,18.9,72.8167,11.0,21.8,14.3,,1015.0,63.0,21.8,1015.0,63.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-15 06:00:00,18.9,72.8167,11.0,30.0,18.6,,1015.2,50.0,30.0,1015.2,50.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-15 09:00:00,18.9,72.8167,11.0,29.2,20.1,,1012.2,58.0,29.2,1012.2,58.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-15 12:00:00,18.9,72.8167,11.0,27.6,22.3,,1011.3,73.0,27.6,1011.3,73.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-16 00:00:00,18.9,72.8167,11.0,24.2,22.1,,1012.0,88.0,24.2,1012.0,88.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-16 03:00:00,18.9,72.8167,11.0,23.6,21.5,,1014.6,88.0,23.6,1014.6,88.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-16 12:00:00,18.9,72.8167,11.0,29.0,24.1,,1011.8,75.0,29.0,1011.8,75.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-17 03:00:00,18.9,72.8167,11.0,24.2,21.5,,1013.7,85.0,24.2,1013.7,85.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-17 06:00:00,18.9,72.8167,11.0,30.6,22.4,,1014.2,62.0,30.6,1014.2,62.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-17 09:00:00,18.9,72.8167,11.0,32.6,23.7,,1011.1,59.0,32.6,1011.1,59.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-17 12:00:00,18.9,72.8167,11.0,30.2,22.9,,1010.4,65.0,30.2,1010.4,65.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-18 03:00:00,18.9,72.8167,11.0,24.0,21.6,,1012.6,87.0,24.0,1012.6,87.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-18 12:00:00,18.9,72.8167,11.0,27.5,22.7,,1009.8,75.0,27.5,1009.8,75.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-19 03:00:00,18.9,72.8167,11.0,23.8,22.0,,1012.5,90.0,23.8,1012.5,90.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-19 06:00:00,18.9,72.8167,11.0,29.6,22.9,,1014.2,67.0,29.6,1014.2,67.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-19 09:00:00,18.9,72.8167,11.0,30.6,20.4,,1011.6,54.0,30.6,1011.6,54.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-19 12:00:00,18.9,72.8167,11.0,28.6,17.2,,1011.0,50.0,28.6,1011.0,50.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-20 03:00:00,18.9,72.8167,11.0,23.4,21.0,,1014.5,86.0,23.4,1014.5,86.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-20 09:00:00,18.9,72.8167,11.0,30.4,19.4,,1012.1,52.0,30.4,1012.1,52.0,False,,,
INM00043057,BOMBAY / COLABA,2024-02-20 12:00:00,18.9,72.8167,11.0,27.2,17.7,,1011.6,56.0,27.2,1011.6,56.0,False,,,
